Date,Time,Order Number,Item Description,Quantity Sold,Sold Price
2026-03-14,17:09:14,10-14365-59401,2025 Panini Instant Matthew Stafford NFL MVP /1978 2025 Rams QB #9 ON HAND,1,8.99
2026-03-15,17:26:57,18-14358-82302,CAM SKATTEBO RC 2025 SCORE FOOTBALL #1 GREEN SP NEW YORK GIANTS ROOKIE,1,2
2026-03-16,7:14:46,16-14364-03763,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,10.99
2026-03-16,18:03:42,21-14359-44591,Kenneth Walker III Super Bowl MVP /593 2026 Panini Instant NFL #444 Seahawks,1,8.99
2026-03-17,2:29:09,18-14365-23852,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,9.99
2026-03-17,14:04:32,17-14369-23768,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,10
2026-03-17,19:23:40,12-14377-72691,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,49.45
2026-03-17,19:32:42,27-14356-17037,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,10.99
2026-03-17,21:08:46,06-14386-75371,12 Card Football Lot + Team Magnet | 1 Auto/Patch/#d + 5 RC/Inserts + Bonus Mag,1,7.99
2026-03-17,23:39:05,24-14375-55986,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,10.99
2026-03-18,1:06:09,11-14379-66797,Zacian 100/094 Illustration Rare ME02: Phantasmal Flames Pokemon TCG NM,1,2.99
2026-03-18,16:08:27,22-14367-04521,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,11.99
2026-03-19,4:29:49,06-14392-07237,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,11.99
2026-03-20,18:00:55,08-14396-00519,"Restocked! Pokemon 15 Card Lot Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,34.16
2026-03-20,19:03:34,25-14371-84120,Ronald Acuna Jr Running Mojo Refractor PSA 10 2018 Bowman Mega Box Chrome,1,54.99
2026-03-22,15:36:07,01-14414-78067,Kakuna 014/165 Scarlet & Violet 151 Pokemon TCG NM,1,1.99
2026-03-23,10:45:13,08-14407-56114,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,17.64
2026-03-23,16:26:22,11-14404-93813,"Pokemon 15 Card Lot TCG Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,27.87
2026-03-23,23:35:29,06-14413-55320,"Pokemon 15 Card Lot TCG Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,9.89
2026-03-24,17:28:35,23-14392-40528,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,10.89
2026-03-24,19:56:15,23-14392-88088,"Pokemon 15 Card Lot TCG Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,9.49
2026-03-24,20:14:54,21-14395-39940,POKEMON OFFICIAL WHITE FLARE BINDER *BINDER ONLY*,1,5.5
2026-03-25,5:37:18,26-14389-68385,NFL 15 Card Football Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | No Base,1,10.89
2026-03-25,9:31:25,12-14411-06854,"Pokemon 15 Card Lot TCG Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,9.89
2026-03-25,10:24:16,26-14390-83067,Pokemon TCG 15 Card Hits Pack | IR EX DR Holos Reverse Holo | No Bulk!,1,53.4
2026-03-25,11:00:11,16-14405-57366,NFL 15 Card Hits Lot | 1 Auto/#d/Mem + 14 Rookie/Insert/Parallel | NO VET BASE,1,20.68
2026-03-25,11:57:45,02-14426-42510,"Pokemon 15 Card Lot TCG Ultra Rare + Hits Only, No Bulk | IR DR EX VMAX V",1,9.89
